PhraseId,SentenceId,Phrase,Sentiment
1,1,seri escapad demonstr adag good goos good gander occasion amus amount stori,1
64,2,quiet introspect entertain independ worth seek,4
82,3,fan ismail merchant work suspect hard time sit,1
117,4,posit thrill combin ethnographi intrigu betray deceit murder shakespearean tragedi juici soap opera,3
157,5,aggress self glorif manipul whitewash,1
167,6,comedi drama nearli epic proport root sincer perform titl charact undergo midlif crisi,4
199,7,narr troubl day plod mess,1
214,8,import earnest thick wit play like read bartlett familiar quotat,3
248,9,leav,1
260,10,hate reason,1
272,11,littl recommend snow dog consid clich dialogu pervers escap sourc high hilar,1
307,12,kung pow oedekerk realiz childhood dream martial art flick prove dream youth remain,1
353,13,perform absolut joy,4
364,14,fresnadillo way extravag chanc distort perspect throw path good sens,3
408,15,like moonlight mile well judgment damn,3
424,16,welcom relief basebal movi tri hard mythic sweet modest ultim win stori,3
459,17,bilingu charmer like woman inspir,3
474,18,like dizzili gorgeou companion wong mood love hong kong movi despit mainland set,2
517,19,inept big screen remak aveng wild wild west,1
537,20,expect,2
552,21,good indi year far,4
564,22,hatfield hick odd coupl sens movi studi gambl publish world offer case studi exist apart movi polit ramif,3
620,23,like go hous parti watch host defend froth ex girlfriend,1
648,24,chuck norri grenad gag occur time windtalk good indic mind film,2
687,25,plot romant comedi boilerpl start finish,2
703,26,arriv impecc pedigre mongrel pep indecipher plot complic,2
726,27,film clearli mean preach exclus convert,2
742,28,import earnest offer opportun occasion smile chuckl reason theater wild wit actor perform,1
787,29,late vapid actor exercis appropri structur arthur schnitzler reigen,1
811,30,vaudevil construct narr term inoffens actual sweet,2
840,31,run mill action flick,2
849,32,hamper paralyz self indulg script aim poetri end sound like satir,0
882,33,ice age comput gener featur cartoon feel like movi make glacial pace earli,2
917,34,littl sens go maker serv clich consider dash,2
945,35,cattaneo follow runaway success film monti differ,2
971,36,unnam easili substitut forc serv terror hero horror movi tri avoid,1
1003,37,feel movi interest entertain amus,1
1024,38,movi progress rambl incoher give new mean phrase fatal script error,0
1051,39,judg soon dark gritti stori take total unexpect direct keep go,3
1088,40,young romant date,3
1100,41,tartakovski team freakish power visual charm writer slip modern rut narr banal,0
1135,42,vincent gallo right home french shocker play usual bad boy weirdo role,3
1165,43,horror movi primari goal frighten disturb work spectacularli shiver induc nerv rattl ride,4
1199,44,minut movi minut decent materi,1
1216,45,fortun option,2
1225,46,sensat true crime hell jaunt purist like experiment storytel horrifi,3
1258,47,tricki satisfi david mamet airless cinemat shell game,3
1281,48,sure filmmak disagre honestli point,1
1305,49,jone tackl meati subject draw engag charact pepper page memor zinger,4
1333,50,bloodi sunday grace prevent place blame make good war movi,4
1369,51,take clunki tv movi approach detail chapter life celebr irish playwright poet drinker,1
1401,52,final come miramax deep shelv coupl abort attempt wake reno make strong case let sleep dog lie,2
1446,53,thank larg william interest develop process minut rest overexpos wast film,0
1480,54,come relic bygon era convolut feel silli plausibl,0
1506,55,clich film refresh,4
1523,56,lead perform oscar size,4
1531,57,run life,0
1539,58,mark pellington late pop thriller kooki overeag spooki subtli love myth,3
1569,59,claud chabrol camera way gentli sway forth cradl charact veil tension beneath tender movement,3
1609,60,transform shakespear deep tragedi smart new comedi,3
1628,61,screenplay jame eric jame horton director peter pat make tooth hurt,1
1659,62,arriv particularli dark moment histori offer flicker remind tie bind,3
1687,63,gener villain lack intrigu funni accent action scene poorli deliv,1
1716,64,charact deepli think right think film,3
1735,65,film despit gratuit cinemat distract impress good fun,3
1755,66,downright transpar script endless assault embarrassingli ham fist sex joke reek script rewrit design garner film cooler rate,0
1799,67,smart provoc drama nearli imposs get skin man know evil monstrou lunat,4
1840,68,like drive,1
1846,69,thing stoner midnight flick sci fi deconstruct gay fantasia love stori sanguin titl,3
1883,70,funni romant comedi skittish new york middl ager stumbl relationship struggl furious fear foibl,3
1918,71,ambit subject willing,1
1938,72,scherfig movi leav wonder charact life clever credit roll,3
1966,73,absorb documentari,3
1973,74,reek rot hack work start finish,2
1984,75,play like seri vignett clip film look common line,1
2006,76,,1
2013,77,major problem windtalk bulk movi center wrong charact,1
2034,78,swimfan like fatal attract eventu go overboard looni melodramat denouement high school swim pool substitut bathtub,2
2071,79,heartfelt stori involv,1
2087,80,unsettl memor cinemat experi predecessor proud,4
2102,81,pretti good execut stori lot rich one hollywood action screenwrit usual come,3
2142,82,phillip noyc actor cinematograph christoph doyl understand delic forc green prose screen version quiet american,3
2195,83,pianist lack quick emot connect steven spielberg schindler list,2
2218,84,invent fun intoxicatingli sexi violent self indulg madden,3
2235,85,tell fascin compel stori,4
2244,86,write flatli david kendal direct bare mari co writer ed decter,1
2274,87,highli recommend view courag idea technic profici great act,4
2297,88,imax short wonder big screen,4
2315,89,show slice life differ instantli recogniz,3
2338,90,amid shock curios factor film corni examin young actress tri find way,1
2369,91,lazi movi avoid solv problem tri distract solut,2
2394,92,comprehens dummi guid non techi enjoy,3
2414,93,entertain music comic antic pervers pleasur watch disney scrape cracker barrel,1
2453,94,burr steer emphas q quirki mix result,3
2473,95,scarc worth mention apart report number tumblewe blow theatr grace compani,0
2504,96,invigor surreal reson rainbow emot,4
2520,97,analyz crass contriv sequel fail make second guess affect origin,0
2556,98,report card live exalt taglin definit room improv,1
2581,99,particularli good film monster,2
2598,100,tsai plough furrow,2
2614,101,green comedi equival saddam hussein readi ask permiss preemptiv strike,1
2654,102,surprisingli solid achiev director malcolm lee writer john ridley,3
2678,103,massoud stori epic tragedi record tenaci human fighter prison ultim victim histori,2
2719,104,chang lane tri,3
2727,105,shyamalan stop tri mom,1
2739,106,macabr styliz swedish fillm modern citi religi civic virtu hold societi place tatter,3
2777,107,recent memori thought film art ethic cost moral compromis,4
2804,108,narr consist unimagin probabl way save film aid wisecrack mysteri scienc theater guy,2
2841,109,filmmak tian zhuangzhuang triumphantli return narr filmmak visual master work quiet power,4
2865,110,mawkish self parodi play like weird masterpiec theater sketch point view compel reason,1
2895,111,take charact like believ put battl will imposs care funni,2
2930,112,appreci side theme lawrenc indulg tirad knock enjoy big screen postcard self glorifi martin lawrenc lovefest,1
2972,113,film sneaki feel director tri dupe viewer take import simpli movi ugli look hollywood product,0
3022,114,threaten bogg earnest dramaturgi stir visual sequenc like surg swirl rapid leap pinnacl pinnacl rou,3
3065,115,swing film make hobbi attract young fit,1
3087,116,entir unprepar,2
3099,117,devo deliv perfect perform captur innoc bud demon wallflow,3
3123,118,year russian histori cultur compress evanesc seamless sumptuou stream conscious,4
3151,119,filmmak want good time cheap b movi way succeed,3
3181,120,polanski element abandon consol art reveal sourc spiritu surviv,3
3226,121,spider man well summer blockbust endur summer hope set tone summer good stuff,4
3263,122,absorb charact,2
3265,123,violent vulgar forgett entertain,1
3273,124,unsettl imag war ravag land prove potent rivet unlik stori sarah harrison,2
3305,125,wind revelatori narcissist achiev honest insight relationship high concept film candi coat pat storylin preciou circumst beauti star,3
3347,126,martha unsurpris sweet delect divers,3
3368,127,thought surprisingli affect portrait screw man dare mess power peopl see eye idealist kid choos champion ultim lose caus,4
3417,128,keenli observ refreshingli natur swim get detail right promenad bare cloth bodi myrtl beach adrenalin jolt sudden lunch rush diner,3
3471,129,brilliant gag expens pay pay,2
3493,130,triumph film hew world carri effortlessli dark light,4
3516,131,involv coast,1
3529,132,fascin dark thriller keep hook delici pulpi lurid fiction,3
3551,133,suspect kind product funni director releas outtak theatric film bonu featur dvd,1
3591,134,hard enjoy tolstoy groupi,1
3610,135,daughter danang reveal effort closur open new wound,1
3630,136,year weirdli engag unpredict charact piec,4
3643,137,intrigu downright intox,4
3649,138,fairli involv far go film end fresh grow cathol,1
3687,139,movi silli comprehens silli comprehens,0
3708,140,sleek arti,3
3713,141,poor edit bad bluescreen ultra cheesi dialogu highlight radic action,0
3732,142,cho face amaz slapstick instrument creat scrapbook live mug shot,3
3760,143,get detail time frame right complet miss emot,1
3778,144,initi strang inexor give way rote sentiment mystic tender narr expedi,2
3800,145,let brush human psycho make psycho,3
3824,146,like world film hartley creat monster know handl,1
3848,147,cower beg foot scruffi giannini madonna give good perform abel ferrara beat pulp danger game,4
3890,148,clumsi key moment big splash,1
3905,149,leg freak partli homag tarantula low budget b movi thriller movi silli sophomor romp horror hellish condit,2
3961,150,feel like light errol morri focu eccentr fail ultim big scrapbook oddbal,1
3994,151,spielberg realiz near futur america master,4
4004,152,scientif law discern produc heed mediocr movi start drag soon action speed explos start fall piec,0
4054,153,cool actor awar cool,3
4077,154,feel like work artist simpli tire fight fight put weight world shoulder play narr form,1
4118,155,stale uninspir,1
4124,156,director cut film love song movi fulli exampl kind lush envelop movi experi rhapsod,3
4164,157,rare capabl sooth break heart singl stroke,3
4185,158,eerili accur depict depress,1
4194,159,featur length film wear welcom tryingli titl charact,1
4213,160,unclutt reson gem relay univers point lectur confront,3
4235,161,stori forc scratch hole head,1
4252,162,filmmak post camp comprehens old time b movi good bad make leg freak perfectli entertain summer divers,3
4278,163,creatur featur fan know cross toxic chemic bunch exot creatur lot run scream death,2
4319,164,bet make convolut journey worth take,2
4337,165,take sudden turn devolv bizarr sort romant comedi steven shainberg adapt mari gaitskil harrow short stori brilliantli play deepli unsettl experi,3
4382,166,kim ki deok mind emot adolesc audienc demand regular shock bout bare defens sexual violenc interest,1
4426,167,reason exist employ hollywood kid peopl owe favor famou parent,0
4454,168,emot scatter film hero give heart dog,2
4474,169,love cinema paradiso find new scene interest find movi improv,2
4495,170,campanella get tone right funni middl sad middl hope,3
4515,171,amiabl unfocus bagatel play like loos connect string act workshop exercis,0
4539,172,sharp movi dull subject,3
4550,173,wallac get bit heavi hand messag time visual flair wax poetic far tast,2
4585,174,charm funni ultim silli movi,2
4595,175,thing wild film imax film chimp lot chimp blow size hous,2
4628,176,start mediocr spiral downward thud pool utterli incompet conclus,0
4654,177,child film true sens,3
4666,178,horrend amateurish filmmak plainli dull visual ugli incomprehens,0
4684,179,beauti craft engag filmmak attract upscal audienc hungri qualiti nostalg twisti yarn guess,4
4719,180,awkwardli contriv exercis magic realism,1
4729,181,punch line miss unfortun outnumb hit,1
4749,182,like smoke signal film imbu strong theme famili tie spiritu power move stoop base melodrama,3
4783,183,evok style flash doubl cross mamet hous game fall heist fun,3
4813,184,film aim funni uplift move,3
4828,185,brief minut need x blab,2
4846,186,spald gray equival teen gross comedi,2
4859,187,great deal corni dialogu preposter moment,1
4872,188,uneven lot fun,3
4878,189,result look like vulgar,2
4885,190,film rehash old theme cap pointless extrem insan violent graphic,0
4912,191,dragon real star reign fire wo disappoint,3
4934,192,play dramat dramat thing happen peopl,1
4948,193,manag intend audienc child place parent coma like state,3
4970,194,movi gener plot point degre random usual achiev lotteri draw,1
4991,195,film veer comic cours unintent parallel inadvert evok memori emot humor,2
5022,196,film depress life,1
5030,197,see tv probabl turn convinc see movi,1
5056,198,impress writer director burr steer know territori sens humor lose smug self satisfact usual associ well privat school,1
5097,199,superior horror flick,4
5104,200,movi heavi hand screenplay navig fast fade pompos pretenti,2
5121,201,littl weak funni,1
5131,202,fit tell,1
5144,203,latent gay like read hardli,2
5159,204,sophist liter pictur usual amus littl catch,3
